space,room_size,capacity,user_per_min,width1,width2,width3,width4,width5,no_of_openings_1,no_of_openings_2,no_of_openings_3,no_of_openings_4,no_of_openings_5
concourse,100,159,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
concourse,125,198,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
concourse,150,238,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
concourse,200,317,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
concourse,400,635,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
concourse,500,794,660,0.75,2.2,0.0,0.0,0.0,False,True,False,False,False
concourse,75,119,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,100,159,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,125,198,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,150,238,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,200,317,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,400,635,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,500,794,720,0.75,2.4,0.0,0.0,0.0,False,True,False,False,False
concourse,75,119,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,100,159,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,125,198,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,150,238,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,200,317,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,400,635,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,500,794,900,0.75,3.0,0.0,0.0,0.0,False,True,False,False,False
concourse,75,119,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,100,159,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,125,198,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,150,238,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,200,317,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,400,635,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,500,794,300,0.75,0.75,0.75,0.0,0.0,False,False,True,False,False
concourse,75,119,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,100,159,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,125,198,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,150,238,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,200,317,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,400,635,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,500,794,308,0.75,0.75,0.81,0.0,0.0,False,False,True,False,False
concourse,75,119,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,100,159,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,125,198,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,150,238,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,200,317,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,400,635,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,500,794,320,0.75,0.75,0.9,0.0,0.0,False,False,True,False,False
concourse,75,119,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,100,159,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,125,198,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,150,238,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,200,317,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,400,635,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,500,794,333,0.75,0.75,1.0,0.0,0.0,False,False,True,False,False
concourse,75,119,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,100,159,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,125,198,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,150,238,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,200,317,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,400,635,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,500,794,360,0.75,0.75,1.2,0.0,0.0,False,False,True,False,False
concourse,75,119,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,100,159,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,125,198,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,150,238,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,200,317,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,400,635,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,500,794,400,0.75,0.75,1.5,0.0,0.0,False,False,True,False,False
concourse,75,119,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,100,159,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,125,198,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,150,238,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,200,317,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,400,635,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,500,794,900,0.75,0.75,2.0,0.0,0.0,False,False,True,False,False
concourse,75,119,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,100,159,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,125,198,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,150,238,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,200,317,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,400,635,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,500,794,990,0.75,0.75,2.2,0.0,0.0,False,False,True,False,False
concourse,75,119,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,100,159,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,125,198,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,150,238,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,200,317,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,400,635,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,500,794,1080,0.75,0.75,2.4,0.0,0.0,False,False,True,False,False
concourse,75,119,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,100,159,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,125,198,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,150,238,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,200,317,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,400,635,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,500,794,1350,0.75,0.75,3.0,0.0,0.0,False,False,True,False,False
concourse,75,119,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,100,159,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,125,198,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,150,238,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,200,317,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,400,635,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,500,794,316,0.75,0.81,0.81,0.0,0.0,False,False,True,False,False
concourse,75,119,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,100,159,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,125,198,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,150,238,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,200,317,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,400,635,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,500,794,340,0.75,0.9,0.9,0.0,0.0,False,False,True,False,False
concourse,75,119,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,100,159,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,125,198,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,150,238,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,200,317,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,400,635,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,500,794,367,0.75,1.0,1.0,0.0,0.0,False,False,True,False,False
concourse,75,119,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,100,159,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,125,198,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,150,238,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,200,317,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,400,635,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,500,794,420,0.75,1.2,1.2,0.0,0.0,False,False,True,False,False
concourse,75,119,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,100,159,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,125,198,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,150,238,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,200,317,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,400,635,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,500,794,500,0.75,1.5,1.5,0.0,0.0,False,False,True,False,False
concourse,75,119,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,100,159,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,125,198,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,150,238,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,200,317,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,400,635,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,500,794,900,0.75,2.0,2.0,0.0,0.0,False,False,True,False,False
concourse,75,119,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,100,159,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,125,198,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,150,238,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,200,317,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,400,635,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,500,794,990,0.75,2.2,2.2,0.0,0.0,False,False,True,False,False
concourse,75,119,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,100,159,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,125,198,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,150,238,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,200,317,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,400,635,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,500,794,1080,0.75,2.4,2.4,0.0,0.0,False,False,True,False,False
concourse,75,119,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,100,159,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,125,198,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,150,238,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,200,317,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,400,635,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,500,794,1350,0.75,3.0,3.0,0.0,0.0,False,False,False,True,False
concourse,75,119,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,100,159,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,125,198,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,150,238,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,200,317,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,400,635,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,500,794,400,0.75,0.75,0.75,0.75,0.0,False,False,False,True,False
concourse,75,119,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,100,159,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,125,198,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,150,238,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,200,317,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,400,635,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,500,794,408,0.75,0.75,0.75,0.81,0.0,False,False,False,True,False
concourse,75,119,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,100,159,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,125,198,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,150,238,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,200,317,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,400,635,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,500,794,420,0.75,0.75,0.75,0.9,0.0,False,False,False,True,False
concourse,75,119,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,100,159,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,125,198,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,150,238,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,200,317,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,400,635,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,500,794,433,0.75,0.75,0.75,1.0,0.0,False,False,False,True,False
concourse,75,119,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,100,159,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,125,198,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,150,238,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,200,317,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,400,635,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,500,794,460,0.75,0.75,0.75,1.2,0.0,False,False,False,True,False
concourse,75,119,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,100,159,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,125,198,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,150,238,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,200,317,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,400,635,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,500,794,500,0.75,0.75,0.75,1.5,0.0,False,False,False,True,False
concourse,75,119,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,100,159,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,125,198,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,150,238,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,200,317,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,400,635,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,500,794,1200,0.75,0.75,0.75,2.0,0.0,False,False,False,True,False
concourse,75,119,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,100,159,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,125,198,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,150,238,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,200,317,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,400,635,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,500,794,1320,0.75,0.75,0.75,2.2,0.0,False,False,False,True,False
concourse,75,119,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,100,159,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,125,198,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,150,238,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,200,317,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,400,635,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,500,794,1440,0.75,0.75,0.75,2.4,0.0,False,False,False,True,False
concourse,75,119,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,100,159,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,125,198,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,150,238,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,200,317,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,400,635,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,500,794,1800,0.75,0.75,0.75,3.0,0.0,False,False,False,True,False
concourse,75,119,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,100,159,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,125,198,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,150,238,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,200,317,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,400,635,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,500,794,416,0.75,0.75,0.81,0.81,0.0,False,False,False,True,False
concourse,75,119,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,100,159,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,125,198,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,150,238,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,200,317,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,400,635,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,500,794,440,0.75,0.75,0.9,0.9,0.0,False,False,False,True,False
concourse,75,119,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,100,159,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,125,198,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,150,238,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,200,317,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,400,635,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,500,794,467,0.75,0.75,1.0,1.0,0.0,False,False,False,True,False
concourse,75,119,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,100,159,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,125,198,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,150,238,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,200,317,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,400,635,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,500,794,520,0.75,0.75,1.2,1.2,0.0,False,False,False,True,False
concourse,75,119,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,100,159,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,125,198,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,150,238,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,200,317,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,400,635,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,500,794,600,0.75,0.75,1.5,1.5,0.0,False,False,False,True,False
concourse,75,119,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,100,159,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,125,198,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,150,238,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,200,317,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,400,635,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,500,794,1200,0.75,0.75,2.0,2.0,0.0,False,False,False,True,False
concourse,75,119,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,100,159,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,125,198,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,150,238,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,200,317,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,400,635,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,500,794,1320,0.75,0.75,2.2,2.2,0.0,False,False,False,True,False
concourse,75,119,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,100,159,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,125,198,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,150,238,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,200,317,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,400,635,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,500,794,1440,0.75,0.75,2.4,2.4,0.0,False,False,False,True,False
concourse,75,119,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,100,159,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,125,198,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,150,238,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,200,317,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,400,635,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,500,794,1800,0.75,0.75,3.0,3.0,0.0,False,False,False,True,False
concourse,75,119,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,100,159,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,125,198,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,150,238,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,200,317,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,400,635,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,500,794,424,0.75,0.81,0.81,0.81,0.0,False,False,False,True,False
concourse,75,119,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,100,159,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,125,198,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,150,238,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,200,317,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,400,635,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,500,794,460,0.75,0.9,0.9,0.9,0.0,False,False,False,True,False
concourse,75,119,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,100,159,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,125,198,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,150,238,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,200,317,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,400,635,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,500,794,500,0.75,1.0,1.0,1.0,0.0,False,False,False,True,False
concourse,75,119,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,100,159,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,125,198,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,150,238,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,200,317,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,400,635,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,500,794,580,0.75,1.2,1.2,1.2,0.0,False,False,False,True,False
concourse,75,119,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,100,159,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,125,198,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,150,238,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,200,317,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,400,635,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,500,794,700,0.75,1.5,1.5,1.5,0.0,False,False,False,True,False
concourse,75,119,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,100,159,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,125,198,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,150,238,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,200,317,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,400,635,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,500,794,1200,0.75,2.0,2.0,2.0,0.0,False,False,False,True,False
concourse,75,119,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,100,159,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,125,198,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,150,238,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,200,317,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,400,635,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,500,794,1320,0.75,2.2,2.2,2.2,0.0,False,False,False,True,False
concourse,75,119,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,100,159,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,125,198,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,150,238,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,200,317,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,400,635,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,500,794,1440,0.75,2.4,2.4,2.4,0.0,False,False,False,True,False
concourse,75,119,1800,0.75,3.0,3.0,3.0,0.0,False,False,False,False,True
concourse,100,159,1800,0.75,3.0,3.0,3.0,0.0,False,False,False,False,True
concourse,125,198,1800,0.75,3.0,3.0,3.0,0.0,False,False,False,False,True
